Date,Close
12/01/2021,314.35
11/30/2021,326.76
11/29/2021,333.76
11/26/2021,315.03
11/24/2021,326.74
11/23/2021,317.46
11/22/2021,319.56
11/19/2021,329.85
11/18/2021,316.75
11/17/2021,292.61
11/16/2021,302.03
11/15/2021,300.25
11/12/2021,303.9
11/11/2021,303.9
11/10/2021,294.59
11/09/2021,306.57
11/08/2021,308.04
11/05/2021,297.52
11/04/2021,298.01
11/03/2021,265.98
11/02/2021,264.01
11/01/2021,258.27
10/29/2021,255.67
10/28/2021,249.41
10/27/2021,244.51
10/26/2021,247.17
10/25/2021,231.66
10/22/2021,227.26
10/21/2021,226.92
10/20/2021,221.03
10/19/2021,222.9
10/18/2021,222.22
10/15/2021,218.62
10/14/2021,217.46
10/13/2021,209.39
10/12/2021,206.71
10/11/2021,206.95
10/08/2021,208.31
10/07/2021,210.75
10/06/2021,207
10/05/2021,204.51
10/04/2021,197.32
10/01/2021,207.42
09/30/2021,207.16
09/29/2021,205.17
09/28/2021,206.99
09/27/2021,216.6
09/24/2021,220.81
09/23/2021,224.82
09/22/2021,219.41
09/21/2021,212.46
09/20/2021,211.13
09/17/2021,219
09/16/2021,222.42
09/15/2021,223.41
09/14/2021,222.42
09/13/2021,221.52
09/10/2021,224.78
09/09/2021,221.77
09/08/2021,223.39
09/07/2021,226.62
09/03/2021,228.43
09/02/2021,223.96
09/01/2021,224.41
08/31/2021,223.85
08/30/2021,226.88
08/27/2021,226.36
08/26/2021,220.68
08/25/2021,222.13
08/24/2021,217.93
08/23/2021,219.58
08/20/2021,208.16
08/19/2021,197.98
08/18/2021,190.4
08/17/2021,194.58
08/16/2021,199.5
08/13/2021,201.88
08/12/2021,199.05
08/11/2021,196.99
08/10/2021,199.36
08/09/2021,202.95
08/06/2021,203.66
08/05/2021,206.37
08/04/2021,202.74
08/03/2021,198.15
08/02/2021,197.5
07/30/2021,194.99
07/29/2021,196.62
07/28/2021,195.03
07/27/2021,192.08
07/26/2021,192.94
07/23/2021,195.58
07/22/2021,195.94
07/21/2021,194.1
07/20/2021,186.12
07/19/2021,187.7975
07/16/2021,181.61
07/15/2021,189.6625
07/14/2021,198.415
07/13/2021,202.5
07/12/2021,205.125
07/09/2021,200.5025
07/08/2021,199.0275
07/07/2021,203.7175
07/06/2021,206.985
07/02/2021,204.87
07/01/2021,202.12
06/30/2021,200.025
06/29/2021,200.2675
06/28/2021,199.85
06/25/2021,190.31
06/24/2021,192.055
06/23/2021,190.5725
06/22/2021,188.8675
06/21/2021,184.2725
06/18/2021,186.3875
06/17/2021,186.5725
06/16/2021,178.1025
06/15/2021,177.885
06/14/2021,180.1875
06/11/2021,178.2525
06/10/2021,174.25
06/09/2021,173.5825
06/08/2021,174.57
06/07/2021,176.19
06/04/2021,175.7825
06/03/2021,169.6975
06/02/2021,167.7825
